"","datetime","date","precip.mm","duration.hrs","max_5.mmhr","max_10.mmhr","max_15.mmhr","max_30.mmhr","max_60.mmhr","energy.mjha","ei30.mjmmhahr","not.baseflow.cutoff"
"238",2006-04-10 20:45:00,2006-04-10,0.16,4.75,0.28,0.16,0.12,0.08,0.064,0.011,0.001,FALSE
"239",2006-04-11 21:00:00,2006-04-11,0.07,3,0.16,0.1,0.1,0.07,0.039,0.005,0,FALSE
"240",2006-04-13 04:00:00,2006-04-13,0.35,0.75,0.76,0.76,0.76,0.662,0.35,0.031,0.021,FALSE
"241",2006-04-13 21:30:00,2006-04-13,0.49,16.5,0.352,0.352,0.352,0.33,0.195,0.041,0.013,FALSE
"242",2006-04-14 21:30:00,2006-04-14,3.92,1.5,8.388,8.388,8.388,6.78,3.808,0.629,4.266,TRUE
"243",2006-04-19 02:15:00,2006-04-19,0.02,0,0.24,0.12,0.08,0.04,0.02,0,0,FALSE
"244",2006-04-20 20:15:00,2006-04-20,1.38,7.25,0.39,0.39,0.39,0.365,0.346,0.117,0.043,FALSE
"245",2006-04-21 14:45:00,2006-04-21,63.25,32.75,17.951,17.951,17.951,17.682,15.466,11.476,202.914,TRUE
"246",2006-04-23 11:15:00,2006-04-23,4.37,1,26.029,17.663,14.875,7.713,4.368,0.508,3.918,TRUE
"247",2006-04-23 20:45:00,2006-04-23,0.33,0.5,1.079,0.78,0.68,0.651,0.33,0.025,0.016,TRUE
"248",2006-04-24 05:00:00,2006-04-24,0.02,0,0.24,0.12,0.08,0.04,0.02,0,0,TRUE
"249",2006-04-25 20:15:00,2006-04-25,4.16,5,2.959,2.959,2.959,2.331,1.892,0.427,0.994,TRUE
"250",2006-04-26 21:30:00,2006-04-26,0.24,1.75,1.279,0.8,0.64,0.347,0.2,0.013,0.005,FALSE
"251",2006-05-04 23:00:00,2006-05-04,0.14,2.25,0.28,0.16,0.129,0.098,0.089,0.01,0.001,FALSE
"252",2006-05-05 20:45:00,2006-05-05,0.22,4,0.32,0.2,0.16,0.094,0.072,0.017,0.002,FALSE
"253",2006-05-07 20:00:00,2006-05-07,2.03,6.5,1.532,1.532,1.532,1.094,0.847,0.188,0.206,FALSE
"254",2006-05-08 10:15:00,2006-05-08,1.27,5.75,0.74,0.694,0.694,0.608,0.409,0.109,0.066,FALSE
"255",2006-05-09 23:00:00,2006-05-09,0.08,1,0.24,0.18,0.16,0.09,0.077,0.006,0.001,FALSE
"256",2006-05-10 21:00:00,2006-05-10,0.34,3,0.289,0.209,0.182,0.151,0.142,0.027,0.004,FALSE
"257",2006-05-11 12:30:00,2006-05-11,46.65,11,58.185,58.185,58.185,48.108,30.965,10.943,526.429,TRUE
"258",2006-05-12 20:15:00,2006-05-12,3.27,17,1.493,1.493,1.493,1.21,1.127,0.302,0.366,TRUE
"259",2006-05-13 21:00:00,2006-05-13,0.95,7.5,0.536,0.398,0.363,0.327,0.312,0.079,0.026,FALSE
"260",2006-05-15 00:45:00,2006-05-15,3.46,14.75,8.924,6.135,5.205,3.031,1.975,0.313,0.948,TRUE
"261",2006-05-15 21:45:00,2006-05-15,0.2,1,0.509,0.365,0.317,0.243,0.2,0.015,0.004,FALSE
"262",2006-05-17 13:45:00,2006-05-17,0.56,0.5,1.686,1.573,1.535,1.127,0.56,0.055,0.062,FALSE
"263",2006-05-18 11:45:00,2006-05-18,2.42,3.75,7.666,7.666,7.666,4.708,2.36,0.391,1.841,TRUE
"264",2006-05-18 21:30:00,2006-05-18,2.56,17.75,3.077,3.077,3.077,3.068,1.62,0.286,0.878,TRUE
"265",2006-05-20 03:00:00,2006-05-20,0.5,1.75,1.252,0.959,0.862,0.511,0.355,0.039,0.02,FALSE
"266",2006-05-24 20:45:00,2006-05-24,0.04,1.75,0.16,0.1,0.08,0.044,0.026,0.002,0,FALSE
"267",2006-05-25 11:15:00,2006-05-25,0.14,2,0.349,0.227,0.227,0.186,0.099,0.009,0.002,FALSE
"268",2006-05-25 21:15:00,2006-05-25,0.04,3,0.247,0.127,0.087,0.047,0.027,0.002,0,FALSE
"269",2006-05-26 09:45:00,2006-05-26,0.36,6,0.866,0.501,0.379,0.263,0.141,0.025,0.007,FALSE
"270",2006-05-28 18:45:00,2006-05-28,0.12,4,0.25,0.13,0.09,0.05,0.035,0.008,0,FALSE
"271",2006-05-30 23:30:00,2006-05-30,0.01,0,0.12,0.06,0.04,0.02,0.01,0,0,FALSE
"272",2006-06-01 16:45:00,2006-06-01,12.52,5.25,16.897,16.897,16.897,13.365,7.522,2.272,30.361,TRUE
"273",2006-06-02 18:30:00,2006-06-02,15.9,14.75,17.822,17.822,17.822,10.955,5.919,2.561,28.052,TRUE
"274",2006-06-08 23:45:00,2006-06-08,0.16,1.5,0.574,0.323,0.239,0.156,0.131,0.01,0.002,FALSE
"275",2006-06-09 11:30:00,2006-06-09,6.15,4.25,13.096,13.096,13.096,10.227,5.661,1.135,11.606,TRUE
"276",2006-06-09 21:45:00,2006-06-09,0.14,0.5,0.499,0.428,0.404,0.27,0.14,0.011,0.003,FALSE
"277",2006-06-12 04:45:00,2006-06-12,5.08,4,2.951,2.951,2.951,2.934,2.747,0.574,1.684,FALSE
"278",2006-06-14 18:30:00,2006-06-14,10.26,0.5,34.253,33.422,33.145,20.506,10.26,2.589,53.086,FALSE
"279",2006-06-19 14:15:00,2006-06-19,1.69,3.5,2.896,2.896,2.896,2.687,1.631,0.193,0.518,FALSE
"280",2006-06-20 05:00:00,2006-06-20,2.43,2.25,17.455,9.483,6.826,3.493,1.786,0.106,0.371,TRUE
"281",2006-06-22 06:45:00,2006-06-22,0.35,1.25,1.434,1.183,1.099,0.585,0.335,0.029,0.017,FALSE
"282",2006-06-22 22:45:00,2006-06-22,23.44,4,21.62,21.256,21.135,17.755,15.937,5.065,89.921,TRUE
"283",2006-06-23 13:30:00,2006-06-23,0.04,0,0.48,0.24,0.16,0.08,0.04,0,0,FALSE
"284",2006-06-23 23:45:00,2006-06-23,0.15,0.5,0.548,0.402,0.353,0.297,0.15,0.011,0.003,FALSE
"285",2006-06-24 13:15:00,2006-06-24,27.15,6.25,27.118,27.118,27.118,15.583,10.113,5.178,80.685,TRUE
"286",2006-06-25 01:45:00,2006-06-25,112.74,45.75,61.773,61.773,61.773,56.295,34.947,22.372,1259.438,TRUE
"287",2006-06-27 06:15:00,2006-06-27,24.35,22.25,13.908,13.908,13.908,7.491,5.382,3.442,25.783,TRUE
"288",2006-06-29 00:45:00,2006-06-29,0.03,0.25,0.221,0.149,0.125,0.06,0.03,0.002,0,TRUE
"289",2006-06-29 15:45:00,2006-06-29,0.02,0.25,0.144,0.09,0.072,0.04,0.02,0.001,0,TRUE
"290",2006-07-02 18:15:00,2006-07-02,0.06,0.25,0.5,0.29,0.22,0.12,0.06,0.002,0,FALSE
"291",2006-07-03 03:00:00,2006-07-03,5.02,0.75,11.941,11.941,11.941,9.023,5.02,0.928,8.369,TRUE
"292",2006-07-03 19:15:00,2006-07-03,21.98,0.75,50.19,50.19,50.19,41.342,21.98,5.974,246.977,TRUE
"293",2006-07-04 14:30:00,2006-07-04,20.83,0.75,75.574,69.173,67.039,36.568,20.83,5.277,192.985,TRUE
